,condition,milage,Price,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission
0,Used,47649,48950,2012,Porsche,911,Carrera,Black,Edition,Black,Automatic
1,Used,19020,67988,2015,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
3,Used,56436,51990,2012,Porsche,911,Carrera,S,Hardtop,Black,Automatic
4,Used,85000,34900,2009,Porsche,911,Carrera,S,Cabriolet,Black,Automatic
5,Used,15808,96995,2018,Porsche,911,Carrera,S,Hardtop,Black,Automatic
6,Used,48750,49999,2009,Porsche,911,Carrera,S,Hardtop,Black,Automatic
10,Used,20039,67790,2013,Porsche,911,Carrera,S,Hardtop,Black,Automatic
11,Used,29405,55000,2012,Porsche,911,Carrera,4,Hardtop,Black,Automatic
12,Used,54905,53000,2012,Porsche,911,Carrera,S,Hardtop,Black,Automatic
13,Used,35475,67395,2013,Porsche,911,Carrera,S,Hardtop,Black,Automatic
14,Used,40208,59991,2016,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
16,Porsche Certified,47438,69998,2017,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
19,Porsche Certified,18823,75991,2014,Porsche,911,Carrera,S,Hardtop,Black,Automatic
20,Porsche Certified,32133,69991,2016,Porsche,911,Carrera,4,Hardtop,Black,Automatic
23,Used,46369,48995,2009,Porsche,911,Carrera,S,Hardtop,Black,Automatic
24,Used,16004,95800,2018,Porsche,911,Carrera,4S,Hardtop,Black,Automatic
25,Used,32845,54750,2013,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
29,Used,9574,108994,2018,Porsche,911,Carrera,GTS4,Hardtop,Black,Automatic
30,Used,27748,49900,2009,Porsche,911,Carrera,Base,Cabriolet,Black,Automatic
31,Used,8,114881,2019,Porsche,911,Carrera,4S,Hardtop,Black,Automatic
32,Used,28592,64999,2012,Porsche,911,Carrera,Black,Edition,Black,Automatic
33,Used,39508,58900,2014,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
35,Used,56154,48000,2007,Porsche,911,Carrera,S,Hardtop,Black,Automatic
36,Used,24640,62998,2015,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
37,Used,46699,59999,2013,Porsche,911,Carrera,S,Hardtop,Black,Automatic
38,Used,51392,45980,2010,Porsche,911,Carrera,4,Cabriolet,Black,Automatic
39,Used,38463,67999,2014,Porsche,911,Carrera,S,Hardtop,Black,Automatic
40,Used,19727,75990,2014,Porsche,911,Carrera,S,Hardtop,Black,Automatic
41,Used,40750,55000,2012,Porsche,911,Carrera,S,Hardtop,Black,Automatic
42,Used,74005,34998,2008,Porsche,911,Carrera,4,Hardtop,Black,Automatic
44,Used,46788,57990,2014,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
45,Used,38396,59900,2013,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
46,Used,40074,47999,2012,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
48,Used,31000,69995,2016,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
49,Used,20646,44548,2007,Porsche,911,Carrera,S,Hardtop,Black,Automatic
52,Used,20663,48900,2009,Porsche,911,Carrera,Base,Cabriolet,Black,Automatic
53,Used,34688,67433,2014,Porsche,911,Carrera,S,Hardtop,Black,Automatic
54,Porsche Certified,27962,64490,2014,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
55,Used,41019,57800,2012,Porsche,911,Carrera,4S,Hardtop,Black,Automatic
57,Used,36118,47977,2009,Porsche,911,Carrera,S,Cabriolet,Black,Automatic
59,Used,30465,74680,2014,Porsche,911,Carrera,4S,Hardtop,Black,Automatic
60,Used,72700,34988,2007,Porsche,911,Carrera,S,Hardtop,Black,Automatic
61,Used,31022,66940,2015,Porsche,911,Carrera,S,Hardtop,Black,Automatic
62,Used,34155,49990,2012,Porsche,911,Carrera,S,Hardtop,Black,Automatic
64,Used,16587,51950,2009,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
65,Used,17081,60999,2012,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
66,Used,35800,64991,2011,Porsche,911,Carrera,4S,Hardtop,Black,Automatic
68,Used,34042,56995,2014,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
71,Used,29400,56995,2015,Porsche,911,Carrera,S,Hardtop,Black,Automatic
72,Used,10300,82900,2017,Porsche,911,Carrera,4S,Hardtop,Black,Automatic
75,Used,36256,65999,2014,Porsche,911,Carrera,S,Hardtop,Black,Automatic
76,Used,28872,67900,2015,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
77,Used,11370,87000,2017,Porsche,911,Carrera,S,Hardtop,Black,Automatic
79,Used,49611,54981,2013,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
81,Porsche Certified,26973,64898,2012,Porsche,911,Carrera,S,Hardtop,Black,Automatic
82,Used,23124,59980,2013,Porsche,911,Carrera,S,Hardtop,Black,Automatic
83,Used,37884,51950,2010,Porsche,911,Carrera,S,Hardtop,Black,Automatic
84,Used,32322,56988,2014,Porsche,911,Carrera,Base,Hardtop,Black,Automatic
85,Used,59850,59999,2014,Porsche,911,Carrera,4S,Hardtop,Black,Automatic
86,Used,69978,58900,2014,Porsche,911,Carrera,4S,Hardtop,Black,Automatic
