car,condition,milage,extar_info
2018 Porsche 911 Carrera,Used,14374 mi.,68900
2013 Porsche 911 Carrera,Porsche Certified,35959 mi.,59950
2018 Porsche 911 GT2 RS,Used,1278 mi.,329950
2014 Porsche 911 Carrera S,Used,46857 mi.,64000
2018 Porsche 911 Carrera,Used,35103 mi.,68398
2017 Porsche 911 Turbo,Porsche Certified,5609 mi.,133494
2012 Porsche 911 Carrera 4S,Used,23811 mi.,62885
2007 Porsche 911 Turbo,Used,6600 mi.,79900
2007 Porsche 911 Carrera S,Used,41594 mi.,41999
2014 Porsche 911 Carrera S,Used,34154 mi.,67000
2012 Porsche 911 Carrera 4S,Used,31698 mi.,59900
2017 Porsche 911 Turbo,Used,34530 mi.,120000
2015 Porsche 911 Targa 4,Used,36330 mi.,85950
2007 Porsche 911 Turbo,Used,84438 mi.,48995
2015 Porsche 911 Carrera S,Used,39829 mi.,65988
2007 Porsche 911 Carrera S,Used,88111 mi.,29988
2013 Porsche 911 Carrera S,Used,94249 mi.,59995
2008 Porsche 911 Carrera,Used,50712 mi.,36800
2012 Porsche 911 Carrera 4S,Used,64056 mi.,53815
2015 Porsche 911 Turbo,Used,12021 mi.,116950
2016 Porsche 911 Carrera S,Used,28342 mi.,69984
2017 Porsche 911 Turbo S,Porsche Certified,13864 mi.,157900
2009 Porsche 911 Carrera S,Used,53744 mi.,49590
2009 Porsche 911 Carrera 4S,Used,56350 mi.,53890
2017 Porsche 911 Carrera,Used,9000 mi.,79100
2015 Porsche 911 Turbo S,Used,14268 mi.,122989
2016 Porsche 911 Carrera GTS,Used,8580 mi.,97745
2013 Porsche 911 Carrera,Used,41618 mi.,56898
2011 Porsche 911 Carrera 4S,Used,27831 mi.,65996
2011 Porsche 911 Carrera,Porsche Certified,36468 mi.,49790
2017 Porsche 911 Carrera S,Porsche Certified,10959 mi.,88790
2017 Porsche 911 Carrera S,Used,16849 mi.,89900
2016 Porsche 911 GT3 RS,Porsche Certified,1729 mi.,188777
2008 Porsche 911 Carrera,Used,78910 mi.,31500
2014 Porsche 911 Carrera 4S,Used,67525 mi.,59800
2008 Porsche 911 Turbo Cabriolet,Used,15737 mi.,71985
2007 Porsche 911 Carrera Cabriolet,Used,76275 mi.,26888
2015 Porsche 911 GT3,Used,21059 mi.,Not Priced
2014 Porsche 911 Carrera,Used,44717 mi.,54995
2015 Porsche 911 GT3,Used,22530 mi.,105990
2018 Porsche 911 GT2 RS,Used,785 mi.,305850
2013 Porsche 911 Carrera 4S,Used,24167 mi.,74900
