car,condition,milage,extar_info
2016 Porsche 911 Carrera,Used,26274 mi.,63995
2016 Porsche 911 GT3 RS,Used,3575 mi.,159500
2008 Porsche 911 Carrera 4S Cabriolet,Used,51845 mi.,48950
2018 Porsche 911 Carrera,Porsche Certified,17446 mi.,81999
2015 Porsche 911 GT3,Used,26735 mi.,97998
2015 Porsche 911 GT3,Used,20000 mi.,118000
2015 Porsche 911 Turbo,Used,29500 mi.,123893
2008 Porsche 911 Carrera 4 Cabriolet,Used,52971 mi.,34995
2018 Porsche 911 GT2 RS,Used,1250 mi.,313995
2012 Porsche 911 Carrera 4S,Used,41000 mi.,59990
2017 Porsche 911 Carrera 4,Used,22985 mi.,78499
2011 Porsche 911 Turbo S,Used,17984 mi.,99500
2015 Porsche 911 Turbo S,Used,15363 mi.,126000
2016 Porsche 911 Carrera 4,Used,41056 mi.,58990
2015 Porsche 911 Turbo,Used,3450 mi.,122990
2013 Porsche 911 Carrera,Used,39656 mi.,54299
2015 Porsche 911 GT3,Used,16500 mi.,119900
2011 Porsche 911 Targa 4,Used,37543 mi.,59997
2014 Porsche 911 GT3,Used,11719 mi.,119221
2013 Porsche 911 Carrera,Used,29214 mi.,59991
2015 Porsche 911 Carrera S,Porsche Certified,56797 mi.,69984
2017 Porsche 911 Carrera,Used,31288 mi.,69900
2012 Porsche 911 Carrera 4S,Used,75200 mi.,54590
2017 Porsche 911 Carrera,Used,4113 mi.,103995
2014 Porsche 911 GT3,Used,8830 mi.,117000
2008 Porsche 911 Carrera 4S,Used,58785 mi.,37986
2011 Porsche 911 Carrera 4S,Used,61833 mi.,55996
2012 Porsche 911 Carrera S,Used,13600 mi.,66990
2015 Porsche 911 Carrera S,Used,36843 mi.,78777
2011 Porsche 911 Carrera GTS,Used,37565 mi.,66900
2014 Porsche 911 Turbo S,Used,45727 mi.,97900
2017 Porsche 911 Turbo S,Used,13995 mi.,145899
2014 Porsche 911 Turbo S,Used,58000 mi.,93000
2018 Porsche 911 Carrera 4 GTS,Used,6760 mi.,134900
2012 Porsche 911 991 Carrera S,Used,21963 mi.,61900
2015 Porsche 911 Targa 4S,Porsche Certified,26732 mi.,97995
2012 Porsche 911 Carrera 4 GTS,Used,32525 mi.,71950
2013 Porsche 911 Carrera S,Used,29498 mi.,32000
2013 Porsche 911 Carrera,Used,41359 mi.,59991
2014 Porsche 911 Carrera S,Used,24719 mi.,68850
2019 Porsche 911 GT3 RS,Used,734 mi.,204900
2015 Porsche 911 GT3,Porsche Certified,14403 mi.,122690
2014 Porsche 911 Carrera,Used,7829 mi.,69950
2014 Porsche 911 Carrera S,Used,26894 mi.,69950
2014 Porsche 911 GT3,Used,10000 mi.,95000
2011 Porsche 911 Carrera GTS,Used,31863 mi.,66950
2015 Porsche 911 Carrera S,Porsche Certified,15135 mi.,82795
2016 Porsche 911 GT3 RS,Used,17001 mi.,148124
2016 Porsche 911 Turbo S,Used,24588 mi.,114900
2017 Porsche 911 Carrera,Used,32377 mi.,76998
2009 Porsche 911 Carrera,Used,53064 mi.,43995
2013 Porsche 911 Carrera 4S,Used,52992 mi.,64995
2009 Porsche 911 Carrera,Used,52300 mi.,42000
2016 Porsche 911 GT3 RS,Used,19547 mi.,147991
2017 Porsche 911 Targa 4S,Porsche Certified,18528 mi.,126998
2016 Porsche 911 Carrera,Used,25124 mi.,66995
2014 Porsche 911 GT3,Used,15215 mi.,114995
2008 Porsche 911 Carrera S Cabriolet,Used,54700 mi.,39500
2011 Porsche 911 Turbo S,Used,54236 mi.,30000
2010 Porsche 911 Carrera,Porsche Certified,52677 mi.,46353
2015 Porsche 911 Turbo,Used,44448 mi.,88777
2016 Porsche 911 Targa 4 GTS,Used,9800 mi.,113795
2018 Porsche 911 GT3,Porsche Certified,6301 mi.,149000
2016 Porsche 911 Turbo,Porsche Certified,11275 mi.,119998
2008 Porsche 911 Carrera S Cabriolet,Used,68208 mi.,35995
2014 Porsche 911 GT3,Used,33800 mi.,105000
2008 Porsche 911 Carrera S,Used,34642 mi.,43991
2014 Porsche 911 Carrera S,Used,42367 mi.,66900
2015 Porsche 911 Carrera 4S,Used,25086 mi.,75900
2016 Porsche 911 GT3 RS,Porsche Certified,11427 mi.,146995
2007 Porsche 911 Carrera,Used,100367 mi.,28888
2016 Porsche 911 Carrera GTS,Used,26917 mi.,85991
2009 Porsche 911 Carrera S Cabriolet,Used,50972 mi.,51999
2016 Porsche 911 Turbo S,Used,25520 mi.,136888
2014 Porsche 911 Turbo S,Used,37321 mi.,107771
2013 Porsche 911 Carrera S,Used,22792 mi.,67995
2015 Porsche 911 Turbo S,Used,31553 mi.,116900
2014 Porsche 911 Turbo S,Used,40406 mi.,109995
2015 Porsche 911 GT3,Used,22878 mi.,123988
2016 Porsche 911 Turbo,Porsche Certified,1457 mi.,125805
2016 Porsche 911 GT3,Porsche Certified,13780 mi.,126974
2018 Porsche 911 Carrera,Porsche Certified,10296 mi.,87800
2011 Porsche 911 Carrera 4S,Used,58556 mi.,59994
2013 Porsche 911 Carrera S,Used,36525 mi.,59999
2007 Porsche 911 Carrera S Cabriolet,Used,39881 mi.,39999
