car,condition,milage,extar_info
2017 Porsche 911 Carrera,Used,18433 mi.,85500
2017 Porsche 911 Carrera S,Used,3918 mi.,115955
2018 Porsche 911 GT3,Used,5790 mi.,169900
2014 Porsche 911 Turbo,Used,19949 mi.,Not Priced
2018 Porsche 911 GT3,Used,1500 mi.,174985
2019 Porsche 911 Turbo S,Used,685 mi.,192995
2018 Porsche 911,Used,19176 mi.,118888
2018 Porsche 911 Turbo S,Used,9129 mi.,164777
2014 Porsche 911 GT3,Used,24553 mi.,104888
2017 Porsche 911 Carrera,Porsche Certified,24821 mi.,78800
2017 Porsche 911 Carrera 4S,Used,24955 mi.,92495
2016 Porsche 911 Turbo S,Used,17557 mi.,129985
2019 Porsche 911 GT3 RS,Used,620 mi.,223988
2018 Porsche 911 Carrera 4S,Porsche Certified,2792 mi.,114993
2015 Porsche 911 Carrera GTS,Used,14014 mi.,85995
2017 Porsche 911 Carrera,Porsche Certified,22596 mi.,77898
2017 Porsche 911 4 GTS,Used,39168 mi.,113995
2019 Porsche 911 Carrera S,Porsche Certified,11638 mi.,102995
2017 Porsche 911 Carrera S,Porsche Certified,3109 mi.,104987
2018 Porsche 911 Targa 4S,Used,8416 mi.,122983
2018 Porsche 911 GT2 RS,Used,680 mi.,329900
2018 Porsche 911 Carrera,Porsche Certified,14570 mi.,87900
2017 Porsche 911 Carrera,Used,31000 mi.,87500
2012 Porsche 911 Turbo S,Used,10400 mi.,Not Priced
2017 Porsche 911,Used,11628 mi.,Not Priced
2008 Porsche 911 Carrera Cabriolet,Used,21681 mi.,Not Priced
2017 Porsche 911 Carrera,Used,39770 mi.,71850
2017 Porsche 911 Carrera,Porsche Certified,23492 mi.,82900
