car,condition,milage,extar_info
2015 Porsche 911 GT3,Used,7492 mi.,118500
2017 Porsche 911 Carrera 4S,Used,3892 mi.,104990
2017 Porsche 911 Turbo S,Used,8144 mi.,146900
2018 Porsche 911 Carrera S,Used,3288 mi.,84989
2019 Porsche 911 Turbo S,Used,649 mi.,299900
2018 Porsche 911 Turbo S,Used,561 mi.,299500
2016 Porsche 911 GT3 RS,Used,3232 mi.,184900
2019 Porsche 911 GT3 RS,Porsche Certified,459 mi.,214950
2018 Porsche 911 GT3,Used,3934 mi.,183800
2016 Porsche 911 GT3 RS,Used,3618 mi.,165000
2019 Porsche 911 Targa 4 GTS,Porsche Certified,12172 mi.,129991
2018 Porsche 911 Turbo S,Used,1634 mi.,180900
2019 Porsche 911 Carrera S,Used,3544 mi.,103995
2018 Porsche 911 Turbo S,Used,341 mi.,319900
2019 Porsche 911 GT3 RS,Used,186 mi.,222000
2018 Porsche 911 Carrera 4S,Used,10080 mi.,104888
2016 Porsche 911 GT3 RS,Used,6026 mi.,165900
2016 Porsche 911 GT3 RS,Porsche Certified,2034 mi.,168980
2018 Porsche 911 Carrera 4S,Porsche Certified,3008 mi.,114899
2019 Porsche 911 Turbo S,Used,72 mi.,265000
2019 Porsche 911 GT3 RS,Used,1071 mi.,229995
2016 Porsche 911 Carrera S,Used,18257 mi.,89950
2018 Porsche 911 GT3,Used,2908 mi.,153455
2018 Porsche 911 GT2 RS,Used,104 mi.,359900
2019 Porsche 911 GT3 RS,Used,811 mi.,195888
2017 Porsche 911 Turbo S,Used,8788 mi.,149988
2019 Porsche 911 Turbo,Used,993 mi.,173999
2016 Porsche 911 GT3 RS,Used,15000 mi.,139999
2019 Porsche 911 GT3 RS,Used,931 mi.,194995
2015 Porsche 911 Carrera GTS,Used,6980 mi.,97495
2018 Porsche 911 GT2 RS,Porsche Certified,1522 mi.,349990
2019 Porsche 911 Turbo S,Porsche Certified,3319 mi.,209981
2019 Porsche 911 GT3 RS,Used,1515 mi.,207900
2016 Porsche 911 GT3 RS,Porsche Certified,8896 mi.,163000
2019 Porsche 911 GT3 RS,Used,743 mi.,233991
2016 Porsche 911 GT3 RS,Used,2400 mi.,179990
2019 Porsche 911 GT3 RS,Porsche Certified,1461 mi.,197000
2018 Porsche 911 Turbo S,Used,11750 mi.,159980
2018 Porsche 911 GT3,Used,760 mi.,175000
2019 Porsche 911 Turbo S,Used,619 mi.,295900
2016 Porsche 911 GT3 RS,Used,2910 mi.,153990
2019 Porsche 911 GT3 RS,Used,274 mi.,227000
2018 Porsche 911 Targa 4S,Porsche Certified,3469 mi.,134890
2018 Porsche 911 Turbo S,Used,3103 mi.,169990
2016 Porsche 911 GT3 RS,Used,389 mi.,189900
2018 Porsche 911 Turbo S,Used,200 mi.,300000
2019 Porsche 911 GT3 RS,Porsche Certified,536 mi.,223830
2019 Porsche 911 GT3 RS,Used,301 mi.,204000
2019 Porsche 911 Turbo S,Porsche Certified,17409 mi.,192000
2019 Porsche 911 GT3 RS,Porsche Certified,7076 mi.,205000
2019 Porsche 911 GT3 RS,Used,328 mi.,209888
2019 Porsche 911 GT3 RS,Porsche Certified,1250 mi.,217500
2019 Porsche 911 Turbo S,Used,209 mi.,289870
2019 Porsche 911 GT3 RS,Porsche Certified,4964 mi.,217570
2018 Porsche 911 Turbo,Used,1136 mi.,192000
2019 Porsche 911 Carrera 4 GTS,Used,4278 mi.,129000
2017 Porsche 911 Carrera 4S,Used,17660 mi.,89888
2018 Porsche 911 GT2 RS,Used,630 mi.,322888
2013 Porsche 911 Carrera,Used,66860 mi.,54997
2017 Porsche 911 Carrera 4S,Used,-- mi.,104000
2019 Porsche 911 GT3 RS,Used,650 mi.,210000
2014 Porsche 911 GT3,Used,16730 mi.,Not Priced
2019 Porsche 911 Turbo S,Used,4725 mi.,Not Priced
2018 Porsche 911 Turbo,Used,5332 mi.,164958
2015 Porsche 911,Used,16694 mi.,91000
2016 Porsche 911 GT3 RS,Used,1642 mi.,Not Priced
2018 Porsche 911 GT2 RS,Used,282 mi.,Not Priced
2019 Porsche 911 GT3 RS,Used,1842 mi.,Not Priced
2018 Porsche 911 GT3,Used,4356 mi.,143900
2014 Porsche 911 Turbo S,Used,17389 mi.,Not Priced
2019 Porsche 911 GT2 RS,Porsche Certified,858 mi.,Not Priced
2012 Porsche 911 Turbo S,Used,26091 mi.,96975
2013 Porsche 911 Carrera,Used,17966 mi.,64995
2017 Porsche 911 Carrera,Used,11556 mi.,82995
2016 Porsche 911,Used,7124 mi.,Not Priced
2019 Porsche 911 GT3 RS,Used,650 mi.,235998
2018 Porsche 911 GT2 RS,Used,728 mi.,329000
2018 Porsche 911 Turbo S,Used,29 mi.,263993
2015 Porsche 911,Used,28884 mi.,82891
2015 Porsche 911 Carrera S,Used,20419 mi.,Not Priced
