car,condition,milage,extar_info
2011 Porsche 911 Carrera,Used,42546 mi.,47990
2008 Porsche 911 Carrera 4S,Used,41103 mi.,49425
2017 Porsche 911 Carrera S,Porsche Certified,5345 mi.,95602
2015 Porsche 911 Carrera,Used,30352 mi.,65968
2018 Porsche 911 Targa 4S,Used,29271 mi.,108000
2019 Porsche 911 Speedster,Used,17 mi.,359900
2018 Porsche 911 Targa 4 GTS,Used,4800 mi.,135000
2015 Porsche 911 Carrera GTS,Used,16875 mi.,89900
2012 Porsche 911 Carrera,Used,38325 mi.,50998
2017 Porsche 911 Carrera S,Used,31413 mi.,77995
2008 Porsche 911 Carrera 4,Used,32895 mi.,59995
2009 Porsche 911 Carrera S,Used,80000 mi.,36999
2013 Porsche 911 Carrera 4S,Used,32000 mi.,80000
2017 Porsche 911 Carrera S,Used,12110 mi.,89900
2009 Porsche 911 Carrera,Used,16720 mi.,59995
2014 Porsche 911 Carrera,Used,24403 mi.,55997
2009 Porsche 911 Carrera Cabriolet,Used,41314 mi.,47900
2007 Porsche 911 Carrera,Used,16107 mi.,49000
2018 Porsche 911 GT3,Used,2066 mi.,162950
2017 Porsche 911 Carrera GTS,Used,1962 mi.,129950
2018 Porsche 911 Targa 4 GTS,Used,7184 mi.,134900
2017 Porsche 911 Carrera,Used,31539 mi.,75156
2018 Porsche 911 Carrera S,Used,22716 mi.,96995
2018 Porsche 911 GT3,Used,2505 mi.,159950
2019 Porsche 911 Speedster,Used,287 mi.,325995
2017 Porsche 911 Carrera,Used,41919 mi.,72900
2015 Porsche 911 Carrera,Used,7896 mi.,73995
2017 Porsche 911 Carrera S,Porsche Certified,9242 mi.,104798
2018 Porsche 911 GT3,Used,3448 mi.,154888
2018 Porsche 911 GT3,Used,5954 mi.,159900
2018 Porsche 911 GT3,Used,1583 mi.,179900
2019 Porsche 911 Carrera GTS,Used,1867 mi.,128310
2018 Porsche 911 GT3,Used,2854 mi.,167862
2019 Porsche 911 Speedster,Used,20 mi.,389988
2014 Porsche 911 Carrera S,Used,23000 mi.,95000
2008 Porsche 911 Carrera,Used,54000 mi.,42995
2009 Porsche 911 Carrera Cabriolet,Used,33283 mi.,44513
2011 Porsche 911 GT3 RS,Used,13682 mi.,Not Priced
2017 Porsche 911 Carrera 4,Porsche Certified,31037 mi.,82999
2010 Porsche 911 Turbo,Used,18958 mi.,Not Priced
2017 Porsche 911 Targa 4S,Used,14528 mi.,Not Priced
