car,condition,milage,extar_info
2007 Porsche 911 Carrera S,Used,33545 mi.,45995
2008 Porsche 911 Targa 4S,Used,67640 mi.,48800
2013 Porsche 911 Carrera,Used,17366 mi.,64900
2007 Porsche 911 Carrera 4S,Used,106168 mi.,39971
2007 Porsche 911 GT3,Used,9800 mi.,99980
2019 Porsche 911 Carrera,Used,6806 mi.,92795
2009 Porsche 911 Carrera S,Used,6732 mi.,72950
2007 Porsche 911 Carrera 4S,Used,23656 mi.,65900
2007 Porsche 911 Carrera Cabriolet,Used,49168 mi.,42900
2016 Porsche 911 Carrera 4 GTS,Used,37527 mi.,93900
2007 Porsche 911 Carrera 4S Cabriolet,Used,9254 mi.,54888
2009 Porsche 911 Turbo Cabriolet,Used,26615 mi.,82980
2007 Porsche 911 Carrera 4S,Used,15787 mi.,59995
2017 Porsche 911 Carrera,Used,36100 mi.,71000
2018 Porsche 911 Carrera S,Used,7742 mi.,93800
2019 Porsche 911 Speedster,Used,1070 mi.,294995
2019 Porsche 911 Carrera,Used,753 mi.,94988
2012 Porsche 911 Carrera 4 GTS,Used,4950 mi.,98900
2008 Porsche 911 Turbo Cabriolet,Used,44200 mi.,69999
2018 Porsche 911 Carrera GTS,Used,3207 mi.,127991
2011 Porsche 911 GT2 RS,Used,4270 mi.,374900
2019 Porsche 911 Speedster,Used,31 mi.,319900
2017 Porsche 911 Carrera,Porsche Certified,21358 mi.,76995
2013 Porsche 911 Carrera,Porsche Certified,8708 mi.,69984
2018 Porsche 911 Carrera,Used,15539 mi.,82000
2009 Porsche 911 Carrera S Cabriolet,Used,19950 mi.,59995
2019 Porsche 911 Carrera,Used,6040 mi.,112340
2013 Porsche 911 Carrera,Used,29677 mi.,57900
2008 Porsche 911 Carrera S,Used,65396 mi.,Not Priced
