car,condition,milage,extar_info
2013 Porsche 911 Carrera,Used,29961 mi.,57888
2007 Porsche 911 Carrera S,Used,30645 mi.,41994
2019 Porsche 911 Carrera T,Used,2878 mi.,94800
2014 Porsche 911 50th Anniversary Edition,Used,33318 mi.,74000
2013 Porsche 911 Carrera,Used,19555 mi.,62000
2011 Porsche 911 Carrera S,Used,36382 mi.,54991
2015 Porsche 911 Carrera,Used,16869 mi.,68998
2014 Porsche 911 Carrera,Used,46817 mi.,55952
2008 Porsche 911 Carrera S Cabriolet,Used,75911 mi.,36788
2007 Porsche 911 Carrera Cabriolet,Used,18431 mi.,40625
2013 Porsche 911 Carrera S,Used,40839 mi.,62900
2008 Porsche 911 Turbo Cabriolet,Used,39362 mi.,77800
2017 Porsche 911 Carrera,Porsche Certified,31570 mi.,75500
2012 Porsche 911 Carrera S,Used,31531 mi.,56990
2012 Porsche 911 Carrera 4 GTS,Used,42500 mi.,75500
2017 Porsche 911 Carrera,Used,38469 mi.,77788
2015 Porsche 911 Carrera S,Porsche Certified,27594 mi.,76900
2018 Porsche 911 Targa 4 GTS,Used,2004 mi.,138865
2014 Porsche 911 Carrera,Used,11728 mi.,59997
2012 Porsche 911 Carrera,Used,17982 mi.,59997
2012 Porsche 911 Carrera S,Used,3100 mi.,81900
2018 Porsche 911 Carrera,Used,6717 mi.,83979
2012 Porsche 911 Carrera S,Used,22175 mi.,68950
2015 Porsche 911 Carrera 4S,Used,38073 mi.,78950
2011 Porsche 911 GT3,Used,24788 mi.,95850
2015 Porsche 911 GTS,Porsche Certified,22130 mi.,95000
2018 Porsche 911 Carrera S,Used,10771 mi.,102900
2013 Porsche 911 Carrera,Porsche Certified,16386 mi.,71510
2019 Porsche 911 Carrera T,Used,6000 mi.,86800
2019 Porsche 911 Carrera T,Used,4660 mi.,109900
2018 Porsche 911 Carrera,Used,10400 mi.,80500
2018 Porsche 911 Carrera S,Used,3100 mi.,112900
2016 Porsche 911 R,Used,17 mi.,369850
2015 Porsche 911 Targa 4S,Porsche Certified,26111 mi.,99435
2008 Porsche 911 Turbo,Used,29883 mi.,91499
2019 Porsche 911 Speedster,Used,82 mi.,314993
2011 Porsche 911,Porsche Certified,22793 mi.,159777
2018 Porsche 911 GT3,Used,4258 mi.,159900
2011 Porsche 911 GT3 RS,Used,17387 mi.,189997
2015 Porsche 911 4 GTS,Used,19692 mi.,109991
2012 Porsche 911 Carrera S,Used,33863 mi.,69900
2011 Porsche 911 GT3 RS,Used,4492 mi.,129997
2019 Porsche 911 GT3,Used,204 mi.,172400
2017 Porsche 911 Carrera S,Used,10204 mi.,99900
2017 Porsche 911 Targa 4S,Used,2500 mi.,124900
2012 Porsche 911 Carrera GTS,Used,52367 mi.,69990
2017 Porsche 911 Carrera 4S,Used,9687 mi.,93999
2017 Porsche 911 Carrera 4S,Used,19826 mi.,99950
2016 Porsche 911 Carrera 4S,Used,15710 mi.,89995
2018 Porsche 911 Carrera T,Used,502 mi.,93900
2016 Porsche 911 Carrera S,Used,5182 mi.,81995
2011 Porsche 911 GT3 RS 4.0,Used,11583 mi.,399900
2008 Porsche 911 GT3,Used,27185 mi.,99800
2008 Porsche 911 GT3,Used,4406 mi.,129900
2011 Porsche 911 GT2 RS,Used,8200 mi.,374900
2018 Porsche 911 Carrera 4S,Porsche Certified,10074 mi.,112000
2015 Porsche 911 GT3,Used,8800 mi.,123900
2011 Porsche 911 GT3 RS,Used,6671 mi.,175900
2011 Porsche 911 GT3 RS,Used,16805 mi.,154900
2019 Porsche 911 GT3,Porsche Certified,7106 mi.,179900
2008 Porsche 911 Turbo Cabriolet,Used,9880 mi.,99900
2019 Porsche 911 Speedster,Used,30 mi.,Not Priced
2011 Porsche 911 GT3 RS 4.0,Porsche Certified,4486 mi.,429997
2011 Porsche 911 Turbo,Used,5930 mi.,Not Priced
2007 Porsche 911 Turbo,Used,17500 mi.,94900
