car,condition,milage,extar_info
2016 Porsche 911 Turbo,Used,15305 mi.,115000
2009 Porsche 911 Carrera S Cabriolet,Used,85000 mi.,34900
2015 Porsche 911 Targa 4S,Porsche Certified,29534 mi.,102485
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2009 Porsche 911 Carrera S Cabriolet,Used,82450 mi.,32999
2009 Porsche 911 Turbo Cabriolet,Used,37856 mi.,62988
2012 Porsche 911 Carrera 4 GTS,Porsche Certified,33469 mi.,83875
2014 Porsche 911 Carrera,Porsche Certified,27962 mi.,64490
2013 Porsche 911 Carrera S,Used,20039 mi.,67790
2014 Porsche 911 Turbo S,Used,29655 mi.,106990
2012 Porsche 911 Carrera S,Used,54905 mi.,53000
2007 Porsche 911 Carrera 4S Cabriolet,Used,66437 mi.,35990
2014 Porsche 911 Carrera 4S,Used,30465 mi.,74680
2013 Porsche 911 Carrera S,Used,35475 mi.,67395
2013 Porsche 911 Carrera,Used,39245 mi.,57900
2013 Porsche 911 Carrera S,Used,59785 mi.,64000
2016 Porsche 911 Carrera,Used,40208 mi.,59991
2011 Porsche 911 Carrera S,Used,53111 mi.,39998
2017 Porsche 911 Carrera,Porsche Certified,47438 mi.,69998
2011 Porsche 911 Carrera S,Used,18259 mi.,69950
2014 Porsche 911 Turbo S,Porsche Certified,9528 mi.,119577
2009 Porsche 911 Carrera,Used,16587 mi.,51950
2012 Porsche 911 Carrera,Used,17081 mi.,60999
2014 Porsche 911 Carrera S,Porsche Certified,18823 mi.,75991
2015 Porsche 911 Turbo,Porsche Certified,11772 mi.,101999
2018 Porsche 911 Carrera 4S,Used,16004 mi.,95800
2008 Porsche 911 Targa 4S,Used,15442 mi.,62995
2011 Porsche 911 Carrera,Used,20059 mi.,59995
2010 Porsche 911 Carrera,Used,53787 mi.,44990
2007 Porsche 911 Carrera Cabriolet,Used,45209 mi.,42900
2011 Porsche 911 Turbo,Used,9223 mi.,89999
2014 Porsche 911 Turbo S,Used,12429 mi.,128000
2009 Porsche 911 Carrera Cabriolet,Used,27748 mi.,49900
2014 Porsche 911 Carrera,Used,39508 mi.,58900
2015 Porsche 911 Carrera,Used,24640 mi.,62998
2010 Porsche 911 Carrera 4 Cabriolet,Used,51392 mi.,45980
2010 Porsche 911 Carrera,Used,20500 mi.,49500
2014 Porsche 911 Carrera S,Used,38463 mi.,67999
2007 Porsche 911 Carrera 4S,Used,65757 mi.,41977
2014 Porsche 911 Carrera S,Used,19727 mi.,75291
2017 Porsche 911 Carrera 4 GTS,Used,16500 mi.,104000
2010 Porsche 911 Carrera S,Used,37884 mi.,51950
2008 Porsche 911 Turbo Cabriolet,Used,90492 mi.,49997
