,condition,milage,Price,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission,6,7
0,Used,47649,48950,2012,Porsche,911,Carrera,Black,Edition,Black,Automatic,,
1,Used,19020,67988,2015,Porsche,911,Carrera,,,Black,Automatic,,
2,Used,15305,115000,2016,Porsche,911,Turbo,,,Black,Automatic,,
3,Used,56436,51990,2012,Porsche,911,Carrera,S,,Black,Automatic,,
4,Used,85000,34900,2009,Porsche,911,Carrera,S,Cabriolet,Black,Automatic,,
5,Used,15808,96995,2018,Porsche,911,Carrera,S,,Black,Automatic,,
6,Used,48750,49999,2009,Porsche,911,Carrera,S,,Black,Automatic,,
7,Used,37856,62988,2009,Porsche,911,Turbo,Cabriolet,,Black,Automatic,,
8,Used,37541,97990,2015,Porsche,911,Turbo,,,Black,Automatic,,
9,Used,25648,89988,2011,Porsche,911,Turbo,,,Black,Automatic,,
10,Used,20039,67790,2013,Porsche,911,Carrera,S,,Black,Automatic,,
11,Used,29405,55000,2012,Porsche,911,Carrera,4,,Black,Automatic,,
12,Used,54905,53000,2012,Porsche,911,Carrera,S,,Black,Automatic,,
13,Used,35475,67395,2013,Porsche,911,Carrera,S,,Black,Automatic,,
14,Used,40208,59991,2016,Porsche,911,Carrera,,,Black,Automatic,,
15,Used,83931,64850,2011,Porsche,911,Turbo,S,,Black,Automatic,,
16,Porsche Certified,47438,69998,2017,Porsche,911,Carrera,,,Black,Automatic,,
17,Porsche Certified,9528,119577,2014,Porsche,911,Turbo,S,,Black,Automatic,,
18,Used,65807,79989,2012,Porsche,911,Turbo,S,,Black,Automatic,,
19,Porsche Certified,18823,75991,2014,Porsche,911,Carrera,S,,Black,Automatic,,
20,Porsche Certified,32133,69991,2016,Porsche,911,Carrera,4,,Black,Automatic,,
21,Porsche Certified,11772,101999,2015,Porsche,911,Turbo,,,Black,Automatic,,
22,Used,24839,67995,2008,Porsche,911,Turbo,Cabriolet,,Black,Automatic,,
23,Used,46369,48995,2009,Porsche,911,Carrera,S,,Black,Automatic,,
24,Used,16004,95800,2018,Porsche,911,Carrera,4S,,Black,Automatic,,
25,Used,32845,54750,2013,Porsche,911,Carrera,,,Black,Automatic,,
26,Used,15442,62995,2008,Porsche,911,Targa,4S,,Black,Automatic,,
27,Used,2546,329500,2018,Porsche,911,GT2,RS,,Black,Automatic,,
28,Used,9223,89999,2011,Porsche,911,Turbo,,,Black,Automatic,,
29,Used,9574,108994,2018,Porsche,911,Carrera,4,GTS,Black,Automatic,,
30,Used,27748,49900,2009,Porsche,911,Carrera,Cabriolet,,Black,Automatic,,
31,Used,8,114881,2019,Porsche,911,Carrera,4S,,Black,Automatic,,
32,Used,28592,64999,2012,Porsche,911,Carrera,Black,Edition,Black,Automatic,,
33,Used,39508,58900,2014,Porsche,911,Carrera,,,Black,Automatic,,
34,Used,18988,72995,2007,Porsche,911,Turbo,,,Black,Automatic,,
35,Used,56154,48000,2007,Porsche,911,Carrera,S,,Black,Automatic,,
36,Used,24640,62998,2015,Porsche,911,Carrera,,,Black,Automatic,,
37,Used,46699,59999,2013,Porsche,911,Carrera,S,,Black,Automatic,,
38,Used,51392,45980,2010,Porsche,911,Carrera,4,Cabriolet,Black,Automatic,,
