,condition,milage,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission,6,7
0,Used,29402,2015,Porsche,911,Turbo,S,,White,Automatic,,
1,Porsche Certified,6701,2017,Porsche,911,Carrera,,,White,Automatic,,
2,Used,11905,2018,Porsche,911,GT2,RS,,White,Automatic,,
3,Used,14560,2015,Porsche,911,GT3,,,White,Automatic,,
4,Used,564,2018,Porsche,911,GT2,RS,,White,Automatic,,
5,Used,23000,2015,Porsche,911,GT3,,,White,Automatic,,
6,Used,34500,2014,Porsche,911,GT3,,,White,Automatic,,
7,Porsche Certified,14597,2017,Porsche,911,Carrera,,,White,Automatic,,
8,Used,3681,2019,Porsche,911,Carrera,4,,White,Automatic,,
9,Used,28150,2015,Porsche,911,,,,White,Automatic,,
10,Used,16909,2017,Porsche,911,Carrera,S,,White,Automatic,,
11,Porsche Certified,24166,2015,Porsche,911,Carrera,S,,White,Automatic,,
12,Porsche Certified,23613,2017,Porsche,911,Turbo,S,,White,Automatic,,
13,Used,9391,2017,Porsche,911,Carrera,,,White,Automatic,,
14,Used,2637,2019,Porsche,911,Turbo,,,White,Automatic,,
15,Porsche Certified,15318,2018,Porsche,911,Turbo,,,White,Automatic,,
16,Used,16955,2017,Porsche,911,Turbo,,,White,Automatic,,
17,Used,6200,2015,Porsche,911,GT3,,,White,Automatic,,
18,Used,6840,2019,Porsche,911,,,,White,Automatic,,
19,Used,21136,2013,Porsche,911,Carrera,S,,White,Automatic,,
20,Porsche Certified,1770,2018,Porsche,911,GT2,RS,,White,Automatic,,
21,Used,5003,2018,Porsche,911,Turbo,S,,White,Automatic,,
22,Porsche Certified,10501,2017,Porsche,911,Carrera,S,,White,Automatic,,
23,Used,7656,2015,Porsche,911,Turbo,,,White,Automatic,,
24,Used,9015,2015,Porsche,911,Carrera,S,,White,Automatic,,
25,Used,5546,2019,Porsche,911,Carrera,S,,White,Automatic,,
26,Used,20897,2013,Porsche,911,Turbo,S,,White,Automatic,,
27,Porsche Certified,2965,2017,Porsche,911,Turbo,S,,White,Automatic,,
28,Used,5205,2018,Porsche,911,Turbo,,,White,Automatic,,
29,Used,19320,2014,Porsche,911,Carrera,,,White,Automatic,,
30,Used,25378,2012,Porsche,911,Turbo,,,White,Automatic,,
31,Used,14879,2018,Porsche,911,Turbo,S,,White,Automatic,,
32,Porsche Certified,12780,2015,Porsche,911,Turbo,,,White,Automatic,,
33,Used,1838,2019,Porsche,911,Turbo,S,,White,Automatic,,
34,Used,26055,2017,Porsche,911,Carrera,S,,White,Automatic,,
35,Used,5775,2014,Porsche,911,Turbo,S,,White,Automatic,,
36,Used,2345,2018,Porsche,911,Turbo,,,White,Automatic,,
37,Used,16841,2015,Porsche,911,Carrera,4S,,White,Automatic,,
38,Used,6406,2016,Porsche,911,Carrera,S,,White,Automatic,,
39,Porsche Certified,11561,2018,Porsche,911,Turbo,S,,White,Automatic,,
40,Porsche Certified,18458,2017,Porsche,911,Turbo,S,,White,Automatic,,
41,Porsche Certified,9964,2015,Porsche,911,GT3,,,White,Automatic,,
42,Used,25294,2017,Porsche,911,Carrera,4S,,White,Automatic,,
43,Porsche Certified,13923,2017,Porsche,911,Carrera,S,,White,Automatic,,
44,Used,12352,2014,Porsche,911,Carrera,,,White,Automatic,,
45,Used,19987,2017,Porsche,911,Carrera,4S,,White,Automatic,,
